Thread: 1069 -- LS: (A = 53, B = 13) -- [A(0, 0) = (9, 2) = (9, 2) = B(2, 15)]
Thread: 3662 -- LS: (A = 57, B = 46) -- [A(0, 0) = (0, 14) = (0, 14) = B(1, 5)]
Thread: 390 -- LS: (A = 48, B = 6) -- [A(0, 0) = (6, 14) = (6, 14) = B(1, 8)]
Thread: 1452 -- LS: (A = 21, B = 20) -- [A(0, 0) = (4, 8) = (4, 8) = B(2, 15)]
Thread: 3633 -- LS: (A = 54, B = 41) -- [A(0, 0) = (13, 13) = (13, 13) = B(2, 10)]
Thread: 3636 -- LS: (A = 54, B = 44) -- [A(0, 0) = (13, 14) = (13, 14) = B(2, 10)]
Thread: 1811 -- LS: (A = 66, B = 19) -- [A(0, 0) = (9, 13) = (9, 13) = B(3, 6)]
Thread: 1722 -- LS: (A = 55, B = 18) -- [A(0, 0) = (0, 2) = (0, 2) = B(1, 8)]
Thread: 1607 -- LS: (A = 40, B = 23) -- [A(0, 0) = (9, 14) = (9, 14) = B(1, 3)]
Thread: 953 -- LS: (A = 39, B = 9) -- [A(0, 0) = (5, 5) = (5, 5) = B(1, 4)]
Thread: 959 -- LS: (A = 39, B = 15) -- [A(0, 0) = (5, 7) = (5, 7) = B(1, 4)]
Thread: 629 -- LS: (A = 78, B = 5) -- [A(0, 0) = (5, 5) = (5, 5) = B(1, 6)]
Thread: 4408 -- LS: (A = 71, B = 48) -- [A(0, 0) = (8, 6) = (8, 6) = B(1, 8)]
Thread: 4415 -- LS: (A = 71, B = 55) -- [A(0, 0) = (8, 0) = (8, 0) = B(1, 8)]
Thread: 432 -- LS: (A = 54, B = 0) -- [A(0, 0) = (13, 7) = (13, 7) = B(1, 14)]
Thread: 434 -- LS: (A = 54, B = 2) -- [A(0, 0) = (13, 7) = (13, 7) = B(1, 14)]
Thread: 439 -- LS: (A = 54, B = 7) -- [A(0, 0) = (13, 4) = (13, 4) = B(1, 14)]
